Country,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
Afghanistan,3257.257238055446,8709.47,2.0,14502158192.0904,110.007507324219,18.3400733643662,2.66562820222961,42239854.0
Albania,808.455839595944,4383.2,3.0,22977677860.7979,95.6067123413086,21.4001448317118,-1.14841763771287,2745972.0
Algeria,1333.13606896647,161563.0,3.25,239899491127.742,108.761642456055,30.850998486007,1.55401932380535,45606480.0
Andorra,3257.257238055446,448.884399,3.0,3727673593.01922,90.147346496582,19.715057652443498,0.330181899850107,80088.0
Angola,540.864115629351,19814.5,2.5,84722957642.3757,88.5749969482422,5.67396733353659,3.03099631037773,36684202.0
Antigua and Barbuda,1780.14046039797,474.6,2.75,2033085185.18518,112.122001647949,24.014107283414248,0.568965860290507,94298.0
Argentina,2029.92282543737,154535.9,3.5,640591410663.883,110.156112670898,19.9549046855485,0.903771167435598,46654581.0
Armenia,1023.8099192714,6746.6,3.0,24212134631.064,92.9023818969727,14.0388972734158,-0.0899173371650819,2777970.0
Australia,5483.81640154023,378996.8,3.0,1723827215334.71,99.1329879760742,18.636641693824,2.37089971050094,26638544.0
Austria,3800.29942035468,59142.4,3.5,516034144115.95,100.77562713623,26.3641781755636,0.996275813585943,9132383.0
Azerbaijan,1502.07816841371,34305.0,3.0,72356176470.5882,99.8082962036133,14.9167966510074,-0.288343752912047,10112555.0
"Bahamas, The",1982.2963323324,2456.0,3.25,14338500000.0,93.8210525512695,11.785447761194,0.641620859891635,412623.0
Bahrain,10798.12284633,32470.2,3.5,43205000000.0,92.3441925048828,34.8175789818714,0.897717864437942,1485509.0
Bangladesh,227.128103107169,85493.1,3.0,437415331040.994,117.658996582031,21.8789546966471,1.02746498713519,172954319.0
Barbados,1477.28444909447,1096.07,3.75,6393564189.61345,95.5793075561523,16.5101044667233,0.127743395119193,281995.0
Belarus,2936.57754684202,54801.5,2.5,71857382745.6066,94.7119674682617,30.357774177398,-0.540824986374776,9178298.0
Belgium,4687.7870492938,85364.1,3.5,632216577075.109,101.821136474609,19.0653732642267,1.16366497533437,11822592.0
Belize,598.977699858332,687.6,3.75,3281500000.0,99.9364624023438,19.5734232635191,1.36088864482137,410825.0
Benin,403.911541234143,7980.4,3.5,19673284686.0023,113.04891204834,22.2902895845298,2.66008514236957,13712828.0
Bhutan,357.973867907643,1035.2,4.0,2898227713.22315,103.800003051758,15.2397358598909,0.63304453326495,787424.0
Bolivia,763.166338844225,18375.3,3.5,45849832906.4139,99.5986480712891,20.5505997841542,1.336412296715,12388571.0
Bosnia and Herzegovina,2190.94343764947,20946.8,3.5,27054889362.8852,87.9420013427734,33.485071485161,-0.70384174302478,3210847.0
Botswana,1201.80359373839,5763.687,2.75,19395765126.3127,93.7229537963867,15.7000832289161,1.69845730907796,2675352.0
Brazil,1490.42584610757,414138.8,3.5,2173665655937.27,103.4716796875,20.4917034779706,0.513716985680443,216422446.0
Brunei Darussalam,8529.72956107677,9588.0,2.25,15128292953.5098,97.5299987792969,24.1766001133481,0.781345833219508,452524.0
Bulgaria,2477.65540069696,34138.1,3.0,101584384672.786,87.2791290283203,30.0190420500865,-0.538593661595979,6430370.0
Burkina Faso,3257.257238055446,5456.7,4.0,20324617838.9676,82.3567962646484,7.00875697767902,2.51606040251666,23251485.0
Burundi,3257.257238055446,713.466,4.0,2642161668.92754,103.901000976562,3.11915682270691,2.67147850336685,13238559.0
Cabo Verde,204.068289570922,620.6,4.0,2587252076.3056,96.402099609375,21.9691266767643,0.928494014669758,598682.0
Cambodia,418.583564577761,18652.8,3.5,31772759998.8571,109.958999633789,26.5674926215365,1.04996511061926,16944826.0
Cameroon,340.947735126012,9928.4,3.5,47945510090.0529,110.715507507324,15.3562785837307,2.59113967946452,28647293.0
Canada,7631.00172981006,516873.7,3.5,2140085567791.45,96.293083190918,19.1613479099063,2.93227401162387,40097761.0
Central African Republic,3257.257238055446,236.6,2.0,2555492085.24831,110.710998535156,6.26769868748864,2.88270795208001,5742315.0
Chad,3257.257238055446,1568.4,2.5,13149325358.7383,90.3641204833984,9.62228531103527,3.08482215474986,18278568.0
Chile,2016.68746115024,84827.8,3.0,335533331669.219,100.192268371582,22.8051234695683,0.131811438677878,19629590.0
