Country,renewable_energy_percentage,Alternative and nuclear energy (% of total energy use),fossil_fuel_energy_percentage,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
Comoros,39.3,0.0105605827476917,0.0,66.4614466873832,328.2,3.0,1352380972.15662,106.206192016602,14.9742143731681,1.81205290418229,852075.0
Djibouti,26.9,7.59381236324645,0.0,165.280468240722,427.7,2.5,4098530513.55777,64.3954010009766,5.9773062026076,1.38273344206501,1136455.0
Dominica,8.9,0.0105605827476917,0.0,625.227190112686,162.8,3.5,653992592.592593,91.8765411376953,16.51695783246135,0.415704036089014,73040.0
Equatorial Guinea,4.2,18.753256378381554,0.0,1853.89338690196,4350.4,2.25,12116922539.4112,51.1990013122559,13.1424318320536,2.34629870847474,1714671.0
Eswatini,64.7,7.59381236324645,0.0,390.218522372529,1147.7,2.75,4597855845.04276,120.863037109375,23.9808906882591,0.758721181538574,1210822.0
Faroe Islands,7.9,7.59381236324645,38.1267479097535,3257.257238055446,26443.0421995,3.0,3555929833.05051,114.173412322998,19.715057652443495,0.338473433332776,53270.0
Fiji,28.4,14.0724603724633,0.0,588.335683681993,1028.2,4.0,5494797540.73365,108.043998718262,14.236830281312,0.708309568380842,936375.0
French Polynesia,7.0,14.0724603724633,0.0,3257.257238055446,26732.7,3.75,5814661208.90544,102.943237304688,14.5869478179634,0.843050034136393,308872.0
"Gambia, The",47.7,0.0105605827476917,0.0,75.359103124683,611.4,3.5,2339904156.79214,93.745002746582,7.50779587521246,2.45217756522986,2773168.0
Greenland,11.7,7.59381236324645,0.0,3257.257238055446,26562.4,3.75,3235809504.29871,114.173412322998,16.27989892080425,0.359389425458904,56865.0
Grenada,10.0,0.0105605827476917,0.0,724.994405907362,324.5,4.0,1320334235.58897,83.4000015258789,13.98029447562875,0.592162162131326,126183.0
Guam,6.7,7.154062370149745,0.0,3257.257238055446,26945.6,3.75,6910000000.0,77.8290481567383,13.4002259286331,0.683444002088191,172952.0
Guinea,66.6,12.8591320660592,37.2809328568691,3257.257238055446,4537.9,4.0,23612295818.0961,97.9629974365234,7.21890740753602,2.36211734721627,14190612.0
Guinea-Bissau,87.4,0.0105605827476917,0.0,65.4914061487468,329.0,3.0,1966461400.35833,113.270462036133,10.607781110302,2.12750787782784,2150842.0
Guyana,12.1,0.38957824161323784,0.0,660.920185956503,2768.5,3.0,16786302158.2734,99.7228698730469,25.4287488087565,0.629624405206613,813834.0
Isle of Man,2.7,7.154062370149745,32.33234850100575,3257.257238055446,27482.2,4.0,7931193222.06405,114.173412322998,15.73692593491845,0.225729728476368,84710.0
Kiribati,41.9,0.0105605827476917,0.0,107.845251867684,56.9,3.0,279034355.108421,101.40503692627,20.28414315148715,1.72470818693557,133515.0
Lao PDR,49.2,1.097975551859761,20.24030169174615,3257.257238055446,19178.9,3.5,15843155731.2552,97.2229995727539,7.17839436403818,1.37576862016302,7633779.0
Lesotho,34.9,0.0105605827476917,0.0,9.57919600295443,2311.9,3.5,2046039024.45854,87.2544631958008,35.0418399887391,1.05662089697663,2330318.0
Liberia,92.8,7.59381236324645,0.0,3257.257238055446,1179.5,3.0,4332000000.0,72.9198532104492,8.32528661116419,2.15837823978606,5418377.0
Liechtenstein,56.9,7.154062370149745,32.33234850100575,3257.257238055446,141.996093,4.0,7364654515.13984,102.110137939453,15.73692593491845,0.651369032629572,39584.0
"Macao SAR, China",11.0,3.28786893518646,19.15892859562015,3257.257238055446,31182.8,3.5,47061843715.8565,84.9676666259766,14.4904731129509,1.28364385187692,704149.0
Madagascar,83.1,1.097975551859761,44.3440111197031,3257.257238055446,2745.45,3.0,16031702914.9195,138.192001342773,9.85945715118128,2.38265667508188,30325732.0
Malawi,62.9,11.758580766773884,37.7381094783236,3257.257238055446,1640.0,3.0,14084341062.3675,126.438003540039,8.08835424107956,2.54716886319793,20931751.0
Maldives,1.2,7.154062370149745,0.0,919.643461304233,1454.0,3.5,6600000000.0,97.8300018310547,25.1933741534242,-0.529476508977336,521021.0
Mali,71.1,5.3183796878287,48.89423083133225,3257.257238055446,4150.7,3.0,20904898296.2501,72.6490020751953,10.1465088454621,3.05166141549371,23293698.0
Marshall Islands,12.2,0.0105605827476917,0.0,592.175876235242,110.0,3.0,284000000.0,105.104331970215,20.28414315148715,1.02196784869723,41996.0
Mauritania,19.6,1.462590044001169,43.06079100237065,3629.893205553335,3847.1,3.0,10452577062.7581,86.6899032592773,14.7001899839062,2.6431022627714,4862989.0
"Micronesia, Fed. Sts.",2.0,0.0105605827476917,0.0,3257.257238055446,107.5,3.0,460000000.0,91.5279998779297,20.28414315148715,0.924204879960664,115224.0
Nauru,1.9,0.0105605827476917,0.0,3257.257238055446,41.4,3.0,154127798.193541,94.9424133300781,20.28414315148715,0.880232027299544,12780.0
New Caledonia,9.6,1.8784162156798252,8.90031651560815,3257.257238055446,27426.15,3.75,9623318718.31459,114.306213378906,22.3782280075583,-0.47472420231839,267940.0
Northern Mariana Islands,0.5,0.0105605827476917,0.0,3257.257238055446,26321.85,3.5,858000000.0,114.173412322998,14.62546008327065,0.493221731247645,49796.0
Palau,0.9,0.0105605827476917,0.0,4803.67985352776,158.2,3.0,263020733.717011,104.825736999512,20.28414315148715,0.0166145155866348,18058.0
Papua New Guinea,54.6,19.06322544483805,26.9545586048586,3257.257238055446,5491.5,2.5,30932496249.7917,109.501403808594,11.5071523513016,1.82993546980529,10329931.0
Puerto Rico,2.5,4.27861828448369,43.44233018236715,3257.257238055446,43434.1,3.0,117902300000.0,100.430526733398,12.3776560470208,-0.448878435008411,3205691.0
Rwanda,79.9,11.758580766773884,37.7381094783236,3257.257238055446,1382.0,4.5,14097768647.6695,134.93034362793,14.4368924798241,2.28190198384881,14094683.0
Samoa,35.9,0.0105605827476917,0.0,304.497107277481,206.5,3.5,934100336.275654,104.123001098633,16.2645455884519,1.47258738875474,225681.0
Sao Tome and Principe,42.5,0.0105605827476917,0.0,259.059730931143,141.1,3.5,603240748.954207,109.629280090332,20.0475410868333,1.94938626026079,231856.0
Seychelles,1.9,0.0105605827476917,0.0,2410.82873707855,598.7,2.75,2141450171.13932,97.6453704833984,11.00524666275853,-0.0876274304874622,119773.0
Sierra Leone,71.6,7.59381236324645,38.1267479097535,3257.257238055446,1048.0,3.5,3809832236.95959,151.726318359375,12.0081239078657,2.13120700196935,8791092.0
Sint Maarten (Dutch part),0.0,0.0105605827476917,0.0,3083.644057780569,26330.25,2.75,1623165683.12849,114.173412322998,12.19336289367715,0.670317314116942,41163.0
Solomon Islands,50.1,0.0105605827476917,0.0,126.828359613887,223.3,2.5,1631286701.11516,104.318099975586,11.4003512092649,2.20546019496427,740424.0
Somalia,95.4,18.753256378381554,36.1113173919501,3257.257238055446,660.4,2.5,11679800110.1523,21.1983299255371,17.8053388244778,3.05481740638644,18143378.0
St. Kitts and Nevis,1.5,0.0105605827476917,0.0,1765.39402318409,231.0,3.5,1077033111.11111,123.615493774414,16.453177875064952,0.205424966383384,47755.0
St. Lucia,9.7,0.0105605827476917,0.0,764.096992561993,499.2,3.5,2519925938.52447,103.664779663086,16.807826597988,0.218823329233446,180251.0
St. Vincent and the Grenadines,5.1,0.0105605827476917,0.0,631.632137443153,219.8,3.5,1065962962.96296,110.58699798584,19.9199811720405,-0.240794545327961,103698.0
Timor-Leste,11.4,0.0105605827476917,0.0,59.8413517474656,446.1,2.0,2243142908.46161,110.747001647949,11.7824217318821,1.42865283050419,1360596.0
Tonga,2.3,0.0105605827476917,0.0,543.896172096251,118.1,3.0,500274898.085221,109.861000061035,27.5819117248849,0.852631300433594,107773.0
Turks and Caicos Islands,0.8,0.0105605827476917,0.0,3257.257238055446,26382.7,3.5,1402054390.94734,122.33812713623,13.98029447562875,0.782437381400663,46062.0
Tuvalu,5.2,0.0105605827476917,0.0,3257.257238055446,6.6,3.0,62280311.5852172,98.4408187866211,20.28414315148715,0.739830748144493,11396.0
Uganda,90.9,0.398829224941919,44.4351940521917,3257.257238055446,5674.6,3.5,49272882213.623,105.526321411133,7.29915745241133,2.78160960502728,48582334.0
Vanuatu,25.0,0.0105605827476917,0.0,153.276839869496,121.3,3.5,1126313359.21923,110.521003723145,11.2306900498544,2.34900690287816,334506.0
Virgin Islands (U.S.),5.9,7.59381236324645,0.0,3257.257238055446,26808.35,2.75,4444000000.0,118.979057312012,15.1932404944453,-0.471640678399366,104917.0
West Bank and Gaza,15.4,1.9325992912657144,20.34769602849585,3257.257238055446,28509.7,3.0,17396300000.0,91.7645874023438,32.6092385889896,2.39326476511584,5165775.0
